NO,NOMOR INDUK BUKU,NOMOR INVENTARIS,JUDUL,NOMOR PANGGIL SETEMPAT,PENERBIT,TANGGAL MASUK,TANGGAL INVENTARIS
5602,0001/PAMNS/2022,1.01,Metode Penelitian Kebudayaan,001.4 Mar M,Bumi Aksara,22-Sep-22,1-Nov-22
5603,0002/PAMNS/2022,2.02,Metode Penelitian Kebudayaan,001.4 Mar M,Bumi Aksara,22-Sep-22,1-Nov-22
5604,0003/PAMNS/2022,3.03,Metode Penelitian Kebudayaan,001.4 Mar M,Bumi Aksara,22-Sep-22,1-Nov-22
5605,0004/PAMNS/2022,4.04,Metode Penelitian Kebudayaan,001.4 Mar M,Bumi Aksara,22-Sep-22,1-Nov-22
5606,0005/PAMNS/2022,5.05,Metode Penelitian Kebudayaan,001.4 Mar M,Bumi Aksara,22-Sep-22,1-Nov-22
5607,0006/PAMNS/2022,6.06,Metode Penelitian Kebudayaan,001.4 Mar M,Bumi Aksara,22-Sep-22,1-Nov-22
5608,0007/PAMNS/2022,7.07,Metode Penelitian Kebudayaan,001.4 Mar M,Bumi Aksara,22-Sep-22,1-Nov-22
5609,0008/PAMNS/2022,8.08,Metode Penelitian Kebudayaan,001.4 Mar M,Bumi Aksara,22-Sep-22,1-Nov-22
5643,0009/PAMNS/2022,9.01,Metodologi Penelitian Kuantitatif,001.42 Ans M,Airlangga University Press,26-Sep-22,07 Oktober 2022
5644,0010/PAMNS/2022,10.02,Metodologi Penelitian Kuantitatif,001.42 Ans M,Airlangga University Press,26-Sep-22,07 Oktober 2022
5645,0011/PAMNS/2022,11.03,Metodologi Penelitian Kuantitatif,001.42 Ans M,Airlangga University Press,26-Sep-22,07 Oktober 2022
5646,0012/PAMNS/2022,12.04,Metodologi Penelitian Kuantitatif,001.42 Ans M,Airlangga University Press,26-Sep-22,07 Oktober 2022
5647,0013/PAMNS/2022,13.05,Metodologi Penelitian Kuantitatif,001.42 Ans M,Airlangga University Press,26-Sep-22,07 Oktober 2022
5648,0014/PAMNS/2022,14.06,Metodologi Penelitian Kuantitatif,001.42 Ans M,Airlangga University Press,26-Sep-22,07 Oktober 2022
5649,0015/PAMNS/2022,15.07,Metodologi Penelitian Kuantitatif,001.42 Ans M,Airlangga University Press,26-Sep-22,07 Oktober 2022
5650,0016/PAMNS/2022,16.08,Metodologi Penelitian Kuantitatif,001.42 Ans M,Airlangga University Press,26-Sep-22,07 Oktober 2022
5651,0017/PAMNS/2022,17.09,Metodologi Penelitian Kuantitatif,001.42 Ans M,Airlangga University Press,26-Sep-22,07 Oktober 2022
