NO,JUDUL,NOMOR KATALOG,NOMOR KLASIFIKASI,ISBN/ISSN,NOMOR PANGGIL SETEMPAT,BAHASA,PENGARANG,PENERJEMAH,EDITOR,SERI,EDISI,NEGARA,PROVINSI,KOTA,PENERBIT,TAHUN,SUBJEK,NAMA PERTEMUAN,TEMPAT PERTEMUAN,TANGGAL PERTEMUAN,HARGA,JENIS
1,100 Artikel Chappy Hakim,1405315122,355.2,978-602-452-662-7,355.2 Hak. A,Indonesia,Chappy Hakim,,"Mira R, Linda Irawati, Resna Anggria P, Rahma Pratiwi",,,Indonesia,DKI Jakarta,Jakarta Pusat,Grasindo,2017,Military Resources,Surat permohonan buku dan koleksi,,22 Agustus 2022,0,Buku Ajar / Buku Ilmiah
2,100 Esai Pilihan Man Nahnu,7045337124,808.84,978-602-5819-08-7,808.84/Adl/M,Indonesia,Samsudin Adlawi,,,,,Indonesia,DKI Jakarta,Jakarta Barat,TareSI Publisher,2018,collection of essays,Permohonan buku dan koleksi,,26 Oktober 2022,0,Kumpulan Sastra
3,100 Great Marketing Ideas,7695427124,658.8,978-0-462-09942-2,658.8 Bly G,Inggris,Jim Blythe,,,,,Singapura,,,Marshall Cavendish,2009,Management Of Marketting,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Bisnis
4,100+ Nihongo No Kurosuwaado Pazuru,1932512122,495.61,978-979-593-744-9,495.61 Far N,Jepang,Siti Faridah,,"Fita Riyadi, Prilia Ramdhina M. ",,,Indonesia,DKI Jakarta,Jakarta Pusat,PT Kesaint Blanc Publishing,2015,Japanese,Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Belajar
5,100 Resep Makanan Sehat PENINGKAT IMUNITAS & KECERDASAN BAYI-BALITA,2736334122,641.563,978-602-06-4065-5,641.563 Soe P,Indonesia,Tuti Soenardi,,Intarina Hardiman,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2020,Cooking for Health,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Resep
6,100 Soneta Cinta,6391337124,811,978-602-06-5872-8,811 New S,Indonesia,Pablo Neruda,M Aan Mansyur,,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2019,Indonesian Poetry,,,,0,Kumpulan Sastra
7,100 Tahun Musik Indonesia,10000341126,780.78598,978-979-780-785-6,780.78598 Sak T,Indonesia,Denny Sakrie,,"Jumali Ariadinata, Resita Wahyu Febiratri",1,,Indonesia,DKI Jakarta,Jakarta Selatan,GagasMedia,2015,Concert In Indonesia,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Musik
8,101 Branding Ideas: Strategi Jitu Memenangkan Hati Konsumen,4827332124,658.82,978-602-0770-34-5,658.82 Cho B,Indonesia,Akmal Musyadat Cholil,,Arif Ishartadi,,,Indonesia,DI Yogyakarta,Yogyakarta,Quardrant,2018,Sales Promotion,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Ekonomi
9,101 Cara Jitu Mendatangkan Trafik Website,641432124,4.678,9.79E+12,004.678 Hel 1,Indonesia,Jefferely Helianthusonfri,,,,,Indonesia,DKI Jakarta,Jakarta,INFORMATIKA,2019,Internet (World Wide Web),Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Digital
10,"101 + Intisari Pribadi Emas: Membenahi Pola Pikir, Taktis Menentukan Tujuan Hidup, dan Menjadi Pribadi yang Bermanfaat",5006326124,155.25,978-623-7345-48-0,155.25 Wah I,Indonesia,Nur'aini Wahyuningsih ,,Fanny A. Prasetya,,,Indonesia,DI Yogyakarta,Bantul,ANDALIMAN SPIRIT,2022,Character Development,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Motivasi
